Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,53600.00,-,-,-,4701.05,4701.05,4784.55,-,-,-,630.00,-,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,46000.00,-,-,-,11900.00,11900.00,12368.75,-,-,-,245.00,-,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,58700.00,488.45,499.00,394.20,417.50,402.60,417.50,45549.00,943003.34,7199.14,198415.00,24745.00,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,59400.00,211.05,231.05,173.00,181.05,176.65,181.05,16045.00,334700.29,1124.74,125405.00,4620.00,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,57900.00,904.05,1017.00,858.10,893.85,878.80,893.85,8239.00,169691.81,2728.47,87010.00,-43925.00,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,48700.00,-,-,-,6058.00,-,9674.30,-,-,-,-,-,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,59800.00,129.05,143.80,104.30,109.10,106.40,109.10,11213.00,235163.91,475.82,87535.00,1680.00,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,55900.00,-,-,-,2488.15,2488.15,2519.70,-,-,-,2590.00,-,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,46500.00,-,-,-,11550.00,11550.00,11869.80,-,-,-,35.00,-,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,47500.00,-,-,-,7138.45,-,10871.85,-,-,-,-,-,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,58100.00,800.00,869.00,723.05,760.60,738.00,760.60,23482.00,484111.51,6605.04,149345.00,-118335.00,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,60300.00,75.00,81.05,57.65,59.95,59.30,59.95,5106.00,107881.80,119.67,65170.00,-6650.00,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,58300.00,730.00,733.60,601.15,636.70,616.00,636.70,114901.00,2371585.95,27031.05,303100.00,28420.00,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,50200.00,-,-,-,8343.05,8343.05,8177.35,-,-,-,70.00,-,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,62900.00,9.40,11.75,8.40,9.50,10.05,9.50,90.00,1981.66,0.31,3255.00,-70.00,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,65500.00,5.05,5.50,4.40,4.75,4.60,4.75,1881.00,43125.18,3.25,162400.00,-7805.00,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,49900.00,-,-,-,8638.00,8638.00,8476.75,-,-,-,70.00,-,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,62600.00,12.90,14.70,8.65,9.85,10.80,9.85,736.00,16128.57,2.81,13090.00,2940.00,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,58900.00,331.80,405.00,313.60,330.60,321.95,330.60,27756.00,575719.88,3529.94,169575.00,22015.00,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,57000.00,1684.00,1784.70,1585.00,1648.75,1619.15,1648.75,3525.00,72410.37,2086.62,531300.00,-7980.00,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,66000.00,5.40,6.35,4.10,4.20,4.15,4.20,7478.00,172753.90,12.10,311640.00,84525.00,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,56400.00,2283.35,2283.35,2166.30,2179.65,2166.30,2179.65,5.00,102.56,3.86,3920.00,-,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,57800.00,1000.00,1095.80,930.00,974.60,949.05,974.60,5051.00,103992.53,1810.80,88305.00,-35105.00,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,53500.00,5050.00,5050.00,5050.00,5050.00,5050.00,4884.30,1.00,20.49,1.76,19775.00,-35.00,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,54600.00,-,-,-,3461.95,3461.95,3788.95,-,-,-,770.00,-,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,61500.00,23.35,24.70,18.25,19.10,19.50,19.10,12553.00,270293.04,89.71,325360.00,-5565.00,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,51500.00,-,-,-,6744.80,6744.80,6880.00,-,-,-,980.00,-,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,56300.00,2320.00,2320.00,2288.75,2288.75,2288.75,2147.10,2.00,41.02,1.61,2415.00,-35.00,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,60500.00,65.60,65.60,45.35,47.40,47.70,47.40,21628.00,458369.04,396.14,460845.00,-32935.00,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,47000.00,-,-,-,11600.00,11600.00,11370.80,-,-,-,35.00,-,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,61900.00,17.30,19.00,14.10,14.90,15.25,14.90,414.00,8971.62,2.31,16170.00,245.00,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,54400.00,-,-,-,3540.00,3540.00,3987.60,-,-,-,4795.00,-,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,53400.00,-,-,-,5101.60,5101.60,4984.05,-,-,-,735.00,-,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,52200.00,-,-,-,6355.15,6355.15,6181.45,-,-,-,595.00,-,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,56800.00,1934.20,1951.00,1796.55,1804.20,1800.00,1804.20,119.00,2442.54,76.82,19845.00,-1400.00,58274.65
